,Column Labels,,,,,,,,,,,,,,
,Average of delivery_rating,,,,Average of Restaurent_cost,,,,Sum of diner_rating,,,,Total Average of delivery_rating,Total Average of Restaurent_cost,Total Sum of diner_rating
Row Labels,BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",BAKERY,"BAKERY,DESSERT PARLOR","BAKERY,QUICK BITES","BAKERY,SWEET SHOP",,,
DLF Phase 3,4.14,,3.90,,260.00,,500.00,,3.2,,,,4.10,281.82,3.2
Bake-a-Boo,4.20,,,,250.00,,,,,,,,4.20,250.00,
Cake Center 24x7,,,,,300.00,,,,,,,,,300.00,
Cake Desire,4.20,,,,300.00,,,,,,,,4.20,300.00,
Cake on Table,4.20,,,,200.00,,,,,,,,4.20,200.00,
Cake Tel,,,,,200.00,,,,,,,,,200.00,
Ciao Cookies,3.90,,,,300.00,,,,,,,,3.90,300.00,
Design Cakes,,,,,200.00,,,,,,,,,200.00,
Flying Cakes,,,3.90,,,,500.00,,,,,,3.90,500.00,
Prem Dairy by Monginis,,,,,250.00,,,,,,,,,250.00,
The Cake Lounge,,,,,350.00,,,,3.2,,,,,350.00,3.2
Indirapuram,3.97,,4.10,,300.00,,500.00,,7.6,,4,,3.98,315.38,11.6
Bakes N Cakes,4.40,,,,400.00,,,,,,,,4.40,400.00,
Breadz,4.10,,,,300.00,,,,,,,,4.10,300.00,
Cakes and Wishes,3.90,,,,300.00,,,,,,,,3.90,300.00,
Crust N Cakes,4.00,,,,250.00,,,,,,,,4.00,250.00,
Crystal Bakers,,,,,400.00,,,,,,,,,400.00,
Frequent Bakes,3.90,,,,350.00,,,,3.5,,,,3.90,350.00,3.5
Golden Bakes N Cakes,4.10,,,,200.00,,,,,,,,4.10,200.00,
Mr. Brown,4.10,,,,500.00,,,,4.1,,,,4.10,500.00,4.1
Mr. Cake,3.90,,,,200.00,,,,,,,,3.90,200.00,
Oh Cakes,3.50,,,,200.00,,,,,,,,3.50,200.00,
